name,areaSlug,nearestStation,walkMinutes,hasWifi,wifiType,hasPower,powerDensity,laptopFriendly,businessHours,priceBand,confidence,description,sourceUrl
"Dean & Deluca Cafe Marunouchi","chiyoda","Tokyo Station","5","true","free","true","counter","true","Weekday 7:00-21:00, Weekend 10:00-19:00","¥¥","high","A polished deli-cafe steps from Tokyo Station where counter seats offer outlets and free Wi-Fi for a quick focused stint.","https://office.yield-marketing.co.jp/coworking/recommended-marunouchi-workcafe/"
"Cafe Lexcel Tokyo International Forum","chiyoda","Yurakucho","2","true","free","true","counter","true","Mon-Fri from 7:30 (closing varies), Sat-Sun 8:00-19:00","¥¥","high","A calm basement cafe inside the International Forum with fast building Wi-Fi and outlets along the counter and terrace.","https://office.yield-marketing.co.jp/coworking/recommended-marunouchi-workcafe/"
"Tully's Coffee & TEA KITTE Marunouchi","chiyoda","Tokyo Station","2","true","free","true","some","true","Mon-Fri 8:00-21:00","¥¥","medium","A spacious Tully's in the KITTE building offering free Wi-Fi plus outlets at counter and some table seats a couple minutes from Tokyo Station.","https://office.yield-marketing.co.jp/coworking/recommended-marunouchi-workcafe/"
"Kaiteki Cafe","chiyoda","Otemachi","1","true","free","true","counter","true","Weekday 11:00-20:00, closed weekends/holidays","¥¥","medium","A weekday business-district cafe directly linked to Otemachi Station with free Wi-Fi and powered counter seating.","https://mailmate.jp/blog/work-friendly-cafes-with-power-and-free-wifi-in-tokyo"
"Doutor Coffee Kanda Kita-guchi","chiyoda","Kanda","1","true","free","true","some","true","Mon-Fri 6:30-20:30, Sat-Sun 8:00-19:00","¥","medium","A large 81-seat Doutor right by Kanda Station's north exit with Wi-Fi and scattered outlets for early-morning work.","https://goworkship.com/magazine/kanda-cafe-dengen-wifi/"
"Excelsior Cafe Kanda Kita-guchi","chiyoda","Kanda","1","true","free","true","some","true","Mon-Fri 6:30-21:00, Sat-Sun 8:00-20:00","¥","medium","A roomy 100-seat Excelsior near Kanda's north exit providing Wi-Fi and outlets for laptop sessions.","https://goworkship.com/magazine/kanda-cafe-dengen-wifi/"
"Blossom & Bouquet Akihabara UDX","chiyoda","Akihabara","2","true","free","true","some","true","Weekday 7:00-20:00, Sat 11:00-18:00, closed Sun/Hol","¥¥","medium","An 83-seat cafe in the Akihabara UDX complex with free Wi-Fi and outlets, geared toward weekday workers.","https://goworkship.com/magazine/akihabara-nomad-cafe/"
"Renoir Akihabara Denki-gai-guchi","chiyoda","Akihabara","1","true","free","true","some","true","7:30-22:00","¥¥","medium","A traditional-style Renoir a minute from the Electric Town exit offering free Wi-Fi, outlets and roomy seating for long stays.","https://goworkship.com/magazine/akihabara-nomad-cafe/"
"Flying Scotsman Akihabara","chiyoda","Akihabara","4","true","free","true","many","true","Weekday 11:00-22:00, Weekend 10:30-20:00","¥¥","medium","A work-oriented Akihabara cafe with fiber Wi-Fi and an outlet at every seat, well suited to extended laptop work.","https://goworkship.com/magazine/akihabara-nomad-cafe/"
"Tully's Coffee Jimbocho","chiyoda","Jimbocho","2","true","free","true","some","true","Mon-Fri 7:00-20:00, Sat 8:00-20:00, Sun 9:00-19:00","¥¥","medium","A roughly 50-seat Tully's near Jimbocho Station with free Wi-Fi and outlets, handy for morning or meeting work.","https://shodanlab.com/jinbocho/"
"Doutor Coffee Jimbocho Ekimae","chiyoda","Jimbocho","1","true","free","true","counter","true","Weekday 6:45-21:00, Sat-Sun 7:45-20:00","¥","medium","A Doutor directly at Jimbocho's A5 exit with partitioned powered counter seats, though a peak-hour time limit applies.","https://shodanlab.com/jinbocho/"
"Sakura Cafe Jimbocho","chiyoda","Jimbocho","2","true","free","true","some","true","24 hours","¥¥","medium","A hotel-attached, internationally minded cafe open around the clock with free Wi-Fi and outlets for any-hour work.","https://shodanlab.com/jinbocho/"
